Item,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
MP060166 - QUESO MADURO TIPO SANDUCHE -  - kg - - kg,850.60,307.15,"1,341.75","1,311.40",454.44,"1,378.06","1,333.66","1,190.90","1,163.93",806.03,"1,508.78","1,801.50"
MP062171 - PREMEZCLA 7 -  -  - . - kg,133.81,0.00,"1,066.53","1,196.79","1,196.79","1,196.79","2,298.80","1,997.37","2,479.60","1,905.39","1,905.39","1,778.78"
MP800115 - MELAZA -  -  - - kg,"1,954.09","2,061.38","1,684.12","2,515.48","3,122.50",948.34,"1,865.43","1,251.18",772.60,164.85,"1,023.24","1,769.16"
MP060026 - CONDIMENTO FRANKFURT -  -  - FT-A6 - kg,"2,603.97","1,638.28","1,490.77","1,203.91","1,355.65","2,614.80","1,584.37","2,532.84","1,143.32","1,243.81","1,408.97","1,749.61"
QU010043 - BENZOATO DE SODIO -  -  - - kg,"2,243.32","1,474.40",573.15,"1,225.53",606.86,"1,375.40",312.46,"1,736.64",862.67,"3,752.43","2,775.54","1,740.65"
MP800260 - ALBAHACA DESHIDRATADA EN HOJAS -  -  - . - kg,297.63,264.40,238.96,389.13,370.80,366.71,436.94,779.26,596.02,571.64,384.28,"1,684.57"
MP062228 - PREMEZCLA ADEREZO MAYONESA UP -  -  - . - kg,"6,256.06","4,501.37","3,093.80","3,839.79","1,933.21","6,215.42","1,983.24","6,459.44","4,765.26","2,948.89",367.21,"1,663.59"
MP062198 - CURAVIS -  -  - . - kg,"2,378.98","2,434.53","1,900.34","2,692.74","2,572.38","1,714.27","3,738.87","2,290.26","2,253.86","2,993.17","3,069.70","1,618.92"
MP060070 - LECHE ENTERA -  -  - FT-A26 - kg,"4,263.10","1,813.16","1,580.78","1,029.50","3,080.76","1,292.12","1,610.01","1,913.33",764.20,"2,817.86","1,960.94","1,613.78"
MP060010 - CANELA MOLIDA -  -  - - kg,"4,103.57","2,955.61","4,048.20","2,818.52","1,519.56","2,403.90","2,719.08","1,462.08","2,261.39","2,979.22","3,188.70","1,587.29"
MP062304 - MARINADOR P/ POLLOS TRI -  -  - BROASTER INY - kg,"4,367.31","2,670.75","2,961.43","1,012.65",329.84,"1,857.95","6,036.80","5,731.94","3,174.75","5,019.55","3,011.09","1,573.37"
MP800240 - QUESO DANBO 152 G -  - 8 REBANADAS - - uni,913.92,819.20,831.60,"1,001.88","2,072.40","1,664.52",868.01,822.25,845.13,607.75,"1,810.38","1,544.40"
MP062151 - PIROFOSFATO ACIDO DE SODIO G.A -  - 25kg - . - kg,64.69,59.55,40.63,22.64,162.42,7.89,175.92,169.94,18.92,428.20,"1,875.78","1,521.50"
MP800151 - INSTANT CLEARJEL IC-06 -  -  - - kg,"4,250.92","8,255.38","6,519.93","5,294.96","3,782.84","3,418.61","2,237.75","3,333.14","1,930.06","1,605.92","2,387.06","1,514.72"
MP060043 - NUEZ MOLIDA -  -  - FT-A29 - kg,"2,780.14","2,015.27","2,245.53","1,516.86","1,751.53",946.07,"1,899.71","2,144.68","1,570.34","2,369.13","1,978.02","1,502.54"
MP060037 - SMOKEZ SUPREME CLASSIS P -  -  - FT-A37 - kg,"1,262.27",442.31,"1,073.89","1,477.15","1,889.91",534.15,"1,324.06","1,129.36","1,900.10",691.07,957.74,"1,501.09"
MP062299 - OLEORRESINA AJO -  -  - - kg,691.73,565.78,"1,139.43",945.39,"1,542.33","1,290.43",976.43,724.53,220.73,876.02,535.22,"1,484.96"
MP062077 - ACIDO FOSFORICO G.ALIMENTICIO -  -  - - kg,222.72,211.95,"2,622.16","2,255.73","2,109.16","1,864.00","1,620.47","1,370.65","1,158.21",848.20,"1,723.85","1,480.02"
MP062242 - SALVIA DESHIDRATADA -  -  - - kg,78.46,58.23,37.04,62.17,38.44,118.44,437.90,395.31,273.85,273.85,232.40,"1,463.64"
MP800124 - TOMILLO EN TROZOS -  -  - - kg,228.58,177.40,202.39,339.61,290.19,352.59,550.01,479.16,768.38,688.51,541.35,"1,448.99"
MP062200 - PREMEZCLA P -  -  - . - kg,"3,463.99","2,893.63","2,893.63","2,893.63","2,893.63","2,607.36",0.00,0.00,"16,507.96","11,180.24","5,111.64","1,429.62"
MP800287 - GELATINA BOVINA 270 BLOOM -  -  - . - kg,734.94,734.94,734.94,734.94,"1,294.94","1,294.94","1,294.94","1,294.94","1,294.94","1,336.10","1,336.10","1,336.10"
MP800271 - PALMITO RODAJAS -  -  - - kg,"2,524.20","2,247.46","1,915.60","1,546.80","3,027.22","2,842.78","2,288.35","2,289.98","1,699.11","1,699.11","1,329.67","1,329.67"
MP060121 - CONDIMENTO N-6 -  -  - - kg,"1,105.02","1,642.93","1,187.21","2,495.76","1,982.55","2,301.15","1,570.94","2,011.06","1,381.75","1,624.52","1,497.94","1,321.09"
MP800283 - SEMILLA DE MOSTAZA CAFE -  -  - . - kg,"1,803.02","1,509.08","1,215.14",921.20,"1,690.70","1,324.66","1,097.61",794.88,486.69,"1,622.73",993.97,"1,255.78"
MP800158 - QUESO PARMESANO -  -  - - kg,327.19,403.50,590.23,387.19,"1,022.42",282.79,476.67,106.57,550.03,"1,641.25",543.51,"1,252.63"
MP062244 - OREGANO DESHIDRATADO EN HOJA -  -  - - kg,100.05,157.43,121.02,151.47,117.91,89.05,168.81,409.13,510.15,587.89,450.75,"1,231.08"
MP060035 - CULANTRO MOLIDO -  -  - FT-A17 - kg,"1,206.63",902.62,"1,286.43","1,111.40",943.07,"1,260.56","1,063.16",797.12,"1,274.72",983.11,711.59,"1,134.17"
MP060044 - OREGANO MOLIDO -  -  - FT-A59 - kg,684.30,790.97,575.00,760.21,523.27,484.20,509.94,506.48,405.33,425.28,"1,519.48","1,131.22"
MP062202 - SABOR VINO BLANCO SILECIA -  -  - 1400501152 - kg,363.13,275.82,127.45,912.48,831.92,703.86,553.41,"1,403.84","1,313.29","1,126.61","1,077.87","1,111.86"
MP060109 - CERVEZA EN POLVO -  -  - - kg,"1,012.28","2,094.14","1,072.73","1,509.36","1,208.50","1,447.67",665.87,972.66,"1,059.26","3,730.94","2,050.96","1,110.60"
MP060143 - PROTEINA TEXTURIZADA SOYA POLV - MAXTEN - R100 - MP060143 - kg,"1,213.51",148.56,877.36,"2,066.67","1,133.14","1,175.06","3,340.04",900.49,802.37,"2,301.16",743.81,"1,106.99"
MP060029 - COND-MORTADELA PRONACA 630037 -  -  - FT-A16 - kg,"1,928.19","1,009.96","2,489.72","2,148.61",971.56,"2,471.90","2,395.96","1,453.00","1,412.22","1,964.36","2,134.89","1,082.46"
MP800177 - PULPA AJI HABANERO ROJO PURE -  -  - 210209 - kg,"5,115.84","4,130.83","2,949.97","2,055.14",819.49,"2,588.51","1,278.24",344.77,"1,913.49",609.71,"2,012.50","1,079.26"
MP800303 - SABOR GUACAMOLE (IN) -  -  - MEX EC0416258 - kg,645.55,830.14,810.40,398.28,123.53,952.06,642.97,500.45,290.96,569.66,703.60,"1,040.17"
MP800009 - AZUCAR MORENA -  -  - - kg,"1,208.95",531.17,260.47,179.85,854.48,909.55,563.51,839.94,833.61,583.32,673.18,"1,035.17"
MP062206 - SMOKEZ ENVIRO 24 P -  -  - . - kg,808.72,"1,509.72",636.90,756.43,"1,555.49","2,230.75",915.71,"1,652.97",915.30,"1,135.13",120.55,"1,025.70"
MP800004 - ACIDO LACTICO -  -  - - kg,685.26,567.77,542.01,771.85,887.38,981.44,660.96,829.36,734.56,335.69,455.38,976.30
MP800142 - GOMA GUAR -  - kg - - kg,"1,042.67",623.04,713.56,628.40,901.09,752.53,277.01,521.24,941.50,"1,266.07","1,752.76",957.34
MP062243 - AJO DESHIDRATADO EN CUBOS -  -  - - kg,48.77,35.92,19.06,72.34,51.19,51.19,131.60,397.63,304.15,304.15,210.67,946.49
MP062291 - CONDIMENTO HAMBURGUESA PR01 -  -  - - kg,0.00,0.00,0.00,0.00,0.00,0.00,979.33,979.33,823.82,439.97,249.03,940.14
MP800129 - SUCRALOSA -  -  - - kg,203.68,66.91,419.97,"1,117.13","1,309.36","1,041.46",682.90,"1,487.67","1,198.43",607.51,118.86,920.27
MP800220 - PASAS -  -  - . - kg,563.52,616.99,792.66,676.87,545.15,560.14,804.40,674.32,"2,128.50","2,010.93","1,120.33",850.09
MP062238 - CONDIMENTO TOCINO LD -  -  - - kg,834.94,"1,158.46","1,245.61","1,732.67",741.63,"1,130.59","1,568.56","2,154.69","1,048.90","1,478.09",525.36,834.17
TR030001 - MEZCLA 01 -  -  - - kg,"2,305.41","2,360.07","1,907.69","2,053.86","2,075.88","2,224.66","2,267.32","2,577.36","2,730.07","1,384.24","1,168.04",822.47
MP062230 - OLEORRESINA DE PEPPERONI COLOR -  -  - . - kg,700.13,521.58,891.82,623.18,276.61,725.17,463.91,"1,069.14",688.04,397.69,218.58,822.37
MP060045 - PIMENTON PICANTE -  -  - FT-A31 - kg,691.71,957.07,"1,151.53",917.28,901.01,637.15,"1,186.95",989.21,800.43,904.98,817.07,816.75
MP800241 - PULPA FRUTILLA CON PEPA 8-BRIX -  -  - . - kg,331.04,129.77,66.64,44.78,0.00,229.44,266.32,173.27,171.24,143.81,282.15,797.78
MP800218 - CIRUELAS PASAS -  -  - . - kg,980.22,509.95,619.39,969.39,499.11,"1,183.84","2,113.56","2,693.28","2,223.00","3,790.95",95.07,773.41
MP050009 - NITRITO DE SODIO -  -  - FT-A35 - kg,814.17,"1,179.77",741.70,996.37,301.95,"1,127.73",971.13,"1,222.23",204.45,"1,162.74","1,414.39",753.21
MP062232 - CULTIVO STARTER BACTOFERM LHP -  -  - . - kg,317.90,880.52,468.94,894.69,599.89,166.49,661.23,413.00,709.42,480.34,983.71,736.45
MP800294 - PIMIENTO VERDE DESHIDRATADO -  - TROZOS - - kg,384.79,253.61,523.51,340.84,258.60,131.93,400.01,303.79,"1,164.42","1,467.90",918.75,733.60
MP800007 - COLORANTE AMARILLO #5 -  -  - - kg,566.72,834.91,869.64,544.42,631.59,773.23,438.36,581.88,193.02,267.51,418.82,707.85
MP800008 - COLORANTE AMARILLO #6 -  -  - - kg,413.82,167.51,794.96,193.77,424.88,203.20,346.90,517.21,551.08,199.39,381.02,707.44
MP060049 - PIMIENTA NEGRA -  -  - FT-A13 - kg,619.68,709.35,740.69,822.17,667.14,861.91,997.60,750.44,790.90,"1,049.05",615.57,681.34
MP062260 - PREMIX VITAMINAS -  -  - . - kg,"2,339.86","2,339.86","2,314.36","2,314.36","2,164.86","1,938.95","1,920.73","1,779.60","1,587.68","1,453.54","1,065.83",680.67
MP062107 - CEBOLLA EN TROZOS -  - KG - - kg,840.76,840.76,441.16,225.38,595.58,785.58,756.19,756.19,556.39,42.19,317.39,667.99
MP060039 - CONDIMENTO JAMI PLUS -  -  - FT-A58 - kg,972.17,"1,326.11",568.82,930.89,"1,429.94","1,627.50",743.46,"1,549.72",567.36,954.14,"1,574.78",666.45
QU020141 - EDTA SAL DISODICA -  -  - - kg,"1,825.16","1,483.98","1,053.98","1,631.41","1,345.31",969.94,606.52,"1,163.73",821.70,545.15,"1,030.56",645.28
MP062294 - NUECES PELADAS -  -  - - kg,"1,023.62",937.37,730.37,885.50,678.50,368.00,"1,207.50","1,000.50","3,523.60","2,695.60","1,246.60",621.92
MP800146 - SEMOLA -  - kg - - kg,518.42,349.41,406.99,187.83,188.82,419.45,535.16,179.98,306.14,505.15,620.87,611.22
MP060171 - COLORANTE CARAMELO -  - kg - COLOMBIA - kg,386.78,223.93,283.25,109.83,187.11,254.90,374.13,212.13,240.41,65.51,500.58,574.56
MP062331 - PISTACHO PELADO -  -  - - kg,,,,,,,,,,,32.40,572.40
MP060055 - VINO BLANCO -  -  - FT-A83 - kg,550.78,394.39,464.90,344.94,449.37,432.50,303.71,527.10,433.07,323.72,654.32,557.17
MP800204 - MAPLE S/C -  -  - 35371 - kg,425.45,388.43,277.35,427.00,255.05,364.71,461.43,187.06,191.15,533.87,798.47,549.99
MP062155 - QUESO MOZARELLA PIZZA CUBICADA -  -  - . - kg,9.26,0.00,"1,946.68",32.35,"1,593.57",59.39,0.00,28.35,"1,138.74","1,636.42","1,218.00",523.01
MP062159 - MARGARINA INDUST (BLOQX15KG) -  -  - . - kg,352.85,159.44,293.88,442.68,450.71,389.83,551.00,382.24,113.38,508.94,336.24,518.43
MP062295 - MANZANAS DESHIDRATADAS -  -  - TROZOS - kg,816.76,736.96,568.96,812.00,644.00,392.00,980.00,812.00,"2,859.92","2,187.92","1,011.92",499.24
MP800307 - EXTRACTO CITROBIO - Citro Bi -  - - kg,,,,,0.00,540.00,536.36,523.07,519.43,515.80,512.16,498.89
MP062088 - SOLUBLE CLAVO DE OLOR 02 -  - NR 1020 - - kg,427.96,497.53,304.50,630.19,413.78,242.57,591.40,342.91,195.49,260.04,352.65,473.95
MP062220 - APANADO TECNAS B820 -  -  - . - kg,527.92,527.92,355.84,355.84,505.06,505.06,505.06,107.94,145.04,644.25,644.25,472.18
MP062329 - ARROZ ARNEJO'S NATURAL -  -  - - kg,,,,,,,,,,488.98,461.99,461.99
MP800237 - PULPA DE TOMATE DE ARBOL -  -  - . - kg,6.84,924.93,960.27,"1,002.08","1,563.62","1,155.49",147.96,"1,042.68",355.03,15.83,15.83,453.37
MP800197 - TOMATE RINON PROCESADO -  -  - - kg,360.47,37.58,504.46,442.71,46.13,224.02,69.81,386.68,456.78,335.34,808.44,435.38
MP060030 - SABOR A POLLO -  -  - FT-A12. - kg,"38,426.57","38,372.36","38,522.38","36,386.25","28,247.49","27,105.04","26,671.31","22,667.33","13,849.96","6,142.52",653.43,425.50
MP062316 - MARINADOR PARA PRESAS DE POLLO -  -  - - kg,153.22,153.22,63.13,506.65,506.65,506.65,506.65,506.65,506.65,421.39,421.39,421.39
MP800219 - UVILLA -  -  - . - kg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,420.00
MP062268 - PREMEZCLA FINAS HIERBAS -  -  - - kg,30.96,138.16,98.99,68.66,187.94,146.98,116.82,89.67,46.35,22.85,443.12,417.19
MP062307 - PREMEZCLA P/PIERNA DE CERDO NC -  -  - - kg,"1,075.20",724.42,724.42,"1,405.84","1,405.84","1,036.21",662.22,662.22,0.00,"1,655.55","2,374.40",415.52
MP062222 - SABOR A QUESO -  -  - PEN 20377 - kg,505.01,489.55,474.10,458.65,435.47,435.47,401.98,483.38,466.67,453.79,428.03,415.15
MP800295 - PIMIENTO ROJO DESHIDRATADO -  - TROZOS - - kg,214.73,141.53,291.83,190.00,144.16,73.54,222.90,169.27,"1,338.14",892.02,550.16,413.11
MP060041 - MOSTAZA -  -  - FT-A45 - kg,272.07,276.31,187.73,980.98,"1,019.07",211.19,"1,127.46","1,187.46","1,386.02","1,269.27","1,377.77",404.12
MP050001 - ACIDO ASCORBICO -  -  - FT-A19 - kg,"1,020.54",908.81,810.31,732.70,630.24,401.65,259.64,575.11,462.06,276.84,590.51,393.10
MP062190 - QUESO CHEDDAR EN BLOQUE -  -  - . - kg,0.00,185.69,184.06,184.01,24.54,230.47,3.35,21.09,42.60,30.72,665.54,387.46
MP062239 - APRORED -  -  - - kg,417.22,289.16,130.70,363.86,234.97,453.54,339.92,217.00,72.85,304.31,171.68,380.83
MP062330 - SABOR MOR ITALIANA P1 -  -  - MP062330 - kg,,,,,,,,,,,378.00,378.00
MP062315 - SALMUERA NEUTRA - DELTAGEN -  - EP 450 VC - kg,412.16,412.16,388.86,369.15,369.15,369.15,369.15,369.15,369.15,369.15,369.15,369.15
MP060075 - NISINA -  -  - FT-A61 - kg,358.40,0.00,358.40,0.00,358.40,0.00,358.40,358.40,358.40,358.40,358.40,358.40
MP800232 - STEVIA -  -  - . - kg,408.32,408.32,379.83,379.83,379.83,379.83,379.83,379.83,379.83,356.09,356.09,356.09
MP062306 - MARINADOR PARA HORNADO -  -  - - kg,914.14,775.23,381.06,784.11,888.81,"1,086.14","1,434.85","1,388.19","1,278.76",734.21,201.42,345.60
MP800153 - AJO SOLUBLE -  - KG - - kg,232.12,261.02,256.98,328.57,389.67,204.31,248.72,361.80,204.11,309.24,100.66,336.95
MP050026 - HUMO LIQUIDO (P-50)AROSMOKE -  - kg - - kg,227.89,257.26,126.53,414.97,236.59,450.57,421.10,608.90,592.66,366.71,466.49,332.31
MP062288 - CONDIMENTO PARRILLADA 02 -  -  - - kg,220.56,220.56,0.00,0.00,0.00,0.00,0.00,0.00,115.62,115.62,21.98,319.67
MP060057 - COND PARRILLADA -  -  - FT-A67 - kg,381.75,292.84,205.36,114.10,284.86,168.31,346.86,305.94,183.14,560.38,515.45,309.26
MP060155 - GRASA VEGETAL DANFAT FRI 1333 -  - kg - - kg,0.00,0.00,0.00,0.00,294.04,380.34,692.82,683.50,362.43,620.41,411.42,302.51
MP050043 - FOSFATO TRICALCICO -  -  - . - kg,"1,606.96","1,606.96","1,569.92","1,540.66","1,445.76","1,288.64","1,261.91","1,159.91","1,019.27",885.32,598.98,289.77
MP062233 - PREMEZCLA PIMIENTA NEGRA S -  -  - . - kg,361.94,316.66,449.22,233.71,115.75,188.82,383.07,260.27,88.35,231.82,375.29,278.00
MP062004 - ACEITE DE SOYA RBD -  -  - RBD (BIDON 20LT) - kg,198.97,124.89,100.55,115.84,218.22,172.72,99.11,198.12,146.62,291.46,391.61,269.58
MP062221 - SABOR BUTTER BUD 32 X -  -  - . - kg,346.47,315.27,315.27,315.27,300.59,293.25,285.78,278.31,270.85,270.85,262.32,254.85
MP800138 - QUESO HOLANDES SUPERMAXI -  -  - - kg,0.13,17.07,57.57,87.97,144.94,120.24,70.09,305.35,26.09,80.87,88.76,243.26
MP062108 - AJO GRANULADO -  - KG - - kg,690.03,690.03,463.05,340.49,580.67,580.67,601.23,601.23,505.34,121.76,25.86,238.18
MP062102 - SABOR A LIMON PR -  -  - - kg,194.43,119.28,100.15,243.32,151.66,196.63,324.80,265.98,482.32,260.18,342.33,226.41
MP800311 - SABORIZANTE AJO -  -  - - kg,,,,,,,,0.00,0.00,23.23,63.73,223.75
MP062246 - AJI DESHIDRATADO EN ESCAMAS -  -  - - kg,6.02,5.16,4.21,16.62,15.61,15.61,4.01,39.78,34.61,34.61,29.44,207.50
MP062289 - CONDIMENTO PIMIENTA DULCE -  -  - - kg,121.34,121.34,0.00,0.00,0.00,0.00,0.00,0.00,73.10,73.10,65.28,192.35
TR030004 - PREMEZCLA 3 - ADITMAQ -  - - kg,86.97,118.89,113.03,71.55,125.09,76.52,159.40,111.58,63.76,63.76,95.59,189.66
TR030002 - MEZCLA 2 -  -  - - kg,737.03,746.28,686.41,649.65,654.62,695.56,701.44,742.62,802.80,473.15,390.71,188.52
MP062172 - OLEORESINA CEBOLLA -  -  - . - kg,193.02,193.02,189.28,189.28,188.03,186.41,183.22,178.40,200.71,197.22,194.98,188.09
MP800152 - CEBOLLA SOLUBLE -  - kg - - kg,164.70,90.98,89.42,394.82,314.07,199.56,98.52,249.23,131.63,219.30,305.18,187.51
MP800005 - ACIDO SORBICO -  -  - - kg,29.14,209.05,195.55,195.55,195.55,195.55,195.55,195.55,195.55,186.60,186.60,186.60
MP800036 - LAUREL EN POLVO -  -  - - kg,258.04,178.45,236.03,185.18,144.97,70.46,191.93,131.51,126.00,114.96,141.96,179.42
MP050038 - OLEORRESINA DE MOSTAZA -  -  - - kg,202.33,461.24,161.74,408.06,352.83,405.40,637.38,465.99,220.95,276.61,334.49,174.14
MP062313 - MIX ALVERJA Y ZANAHORIA -  -  - - kg,0.30,24.15,23.88,0.00,63.99,399.64,0.00,97.48,216.88,83.48,106.15,165.44
MP800029 - CONCENTRADO SALSA INGLESA -  -  - - kg,152.25,138.55,122.42,77.59,124.12,219.56,142.77,99.77,150.17,200.46,350.31,161.88
MP800042 - OREGANO EN HOJA -  -  - - kg,536.89,245.61,304.55,231.06,327.59,472.13,300.63,68.81,307.94,211.99,307.54,161.69
MP050047 - GLICINA -  -  - - kg,,,,,,,,,,155.00,155.00,155.00
MP800104 - ANTIESPUMANTE -  -  - - kg,103.23,87.91,65.35,43.92,20.58,140.64,115.70,94.92,244.11,206.66,186.43,153.79
MP800144 - SABOR A PIZZA -  - gr - - kg,206.60,136.06,117.93,216.28,197.85,161.00,124.16,74.41,65.20,47.43,114.63,153.48
MP062296 - ARANDANOS DESHIDRATADOS -  -  - - kg,244.04,223.48,172.73,238.53,193.20,105.00,294.00,237.41,856.33,655.12,302.99,152.00
MP060154 - PIMIENTA NEGRA GRANO TROCEADO -  - kg - - kg,152.80,152.80,152.80,152.80,152.42,152.42,152.04,152.04,152.04,152.04,151.66,149.76
MP062271 - CILANTRO PEPA TROZOS -  -  - . - kg,343.89,343.89,244.05,190.14,634.14,634.14,418.18,418.18,346.19,272.42,421.07,146.99
MP060050 - SAL COMUN -  -  - FT-A23 - kg,362.71,486.35,244.04,345.57,352.82,99.32,198.01,193.59,438.27,443.94,484.30,153.87
MP800272 - PIMIENTA NEGRA TROCEADO FINO -  -  - - kg,280.52,280.52,262.10,208.16,182.46,154.97,71.19,71.19,166.98,113.70,195.01,144.22
MP800189 - ESTRAGON ENTERO -  -  - MP800189 - kg,468.72,468.72,468.72,468.72,468.72,267.84,267.84,200.88,602.64,409.13,334.80,133.92
MP062103 - SABOR A NARANJA PR -  -  - - kg,20.62,38.90,13.42,17.07,71.67,49.01,28.90,90.36,63.75,92.37,175.23,131.67
MP062106 - ACEITE CON ACHIOTE -  - KG - - kg,123.68,63.95,19.71,102.71,102.71,15.15,15.15,46.00,130.64,130.64,130.64,130.64
MP800267 - QUESO AMER REDON. 5 REB 80 GR -  -  - - uni,"1,600.23","1,313.32","1,757.88",0.00,230.28,407.34,862.42,"1,991.44",744.62,0.00,"1,134.60",127.10
MP062272 - COMINO TROZOS -  -  - . - kg,528.60,528.60,438.32,389.57,344.43,344.43,207.72,207.72,162.58,307.02,261.88,126.47
MP060048 - PIMIENTA CAYENA -  -  - FT-A53 - kg,116.22,105.10,198.42,188.18,167.23,194.44,176.83,158.25,143.14,143.45,127.86,126.01
MP060126 - JENGIBRE EN POLVO -  -  - - kg,58.03,49.07,34.13,19.20,40.72,26.51,50.72,45.99,31.77,76.46,138.43,123.88
MP800221 - PULPA DE MANGO -  -  - . - kg,413.22,413.22,413.22,413.22,413.22,0.00,0.00,0.00,0.00,"2,638.36",121.10,121.10
MP800273 - ACEITE DE OLIVA REFINADO -  -  - - kg,"2,092.26","2,602.32","1,599.99","1,269.62","1,779.68","1,449.31",788.59,"1,733.35","1,323.50","1,303.55",893.70,116.12
MP062193 - AJONJOLI -  -  - . - kg,177.40,148.15,99.42,50.68,60.70,118.47,67.54,109.30,99.57,60.89,96.64,115.11
MP800184 - SABORIZANTE FRUTILLA -  - 3MF03945 - - kg,30.65,24.93,83.90,83.90,69.77,38.21,24.08,13.42,13.42,130.70,122.14,113.58
MP062267 - TOMILLO EN POLVO -  -  - - kg,28.49,109.21,57.40,145.83,112.52,67.87,154.71,125.13,83.69,179.58,141.06,111.17
MP062303 - OLEORRESINA PIMIENTA NEGRA -  -  - - kg,54.19,54.19,52.86,52.86,52.86,52.86,52.86,52.86,118.28,118.28,111.68,106.26
MP062308 - ZANAHORIA CONGELADA - KYPROSS -  - - kg,29.25,14.63,43.88,43.88,29.25,13.65,43.88,29.25,58.50,0.00,87.75,102.38
MP062194 - CURRY EN POLVO -  -  - . - kg,251.73,251.73,251.73,224.01,168.57,140.85,85.42,57.70,57.70,57.70,100.20,100.20
MP800313 - ZANAHORIA DESHIDRATADA -  -  - - kg,,,,,,,,,,0.00,100.00,100.00
MP062139 - ANTIOXIDANTE BHT FOOD -  -  - MP062139 - kg,233.91,231.97,213.76,207.79,206.05,203.82,185.59,184.74,115.06,93.79,93.14,98.18
MP062001 - PAPRIKA -  -  - - kg,251.71,125.59,125.59,30.47,75.46,271.28,152.45,53.42,61.71,98.21,144.21,94.90
MP800275 - SABOR HUMO AJO 6160 -  -  - - kg,75.09,61.57,34.53,311.33,282.86,254.39,225.92,225.92,221.15,164.21,164.21,92.17
MP800282 - ENELDO TROZOS -  -  - . - kg,46.38,35.77,13.51,92.54,81.07,69.59,46.57,46.57,36.00,115.03,91.95,91.95
MP800194 - CILANTRO DESHIDRATADO -  -  - - kg,46.77,37.47,26.78,17.55,8.33,89.11,76.39,66.92,57.63,48.40,97.12,87.90
MP800276 - SABOR HUMO ROSTIZADO 3123 -  -  - - kg,311.02,297.49,270.42,270.42,256.88,243.35,229.82,229.82,227.55,131.75,111.17,87.07
MP062229 - OLEORRESINA DE APIO -  -  - . - kg,141.28,138.82,132.54,130.09,125.27,121.89,116.56,116.56,114.12,103.48,98.14,85.86
MP800312 - ARVEJA CONGELADA -  -  - - kg,,,,,,,,,,0.00,81.00,81.00
MP800304 - COLOR VERDE -  -  - CA41216 - kg,43.16,31.96,19.16,59.96,47.16,26.37,47.97,77.57,51.97,34.35,60.75,80.75
MP800090 - PIMIENTA NEGRA EN PEPA -  -  - - kg,16.46,82.06,64.30,44.42,33.62,11.60,71.42,60.41,44.99,29.58,14.16,75.98
MP062173 - OLEORESINA DE AJO -  -  - . - kg,157.45,157.45,150.78,150.78,185.63,182.37,25.87,17.27,111.46,98.04,92.88,74.66
MP062285 - OLEORRESINA PAPRIKA -  -  - . - kg,92.47,92.47,0.00,0.00,0.00,0.00,0.00,0.00,51.04,51.04,102.85,71.29
MP800185 - SABOR PI?A 502. 163/C -  -  - SABOR-DISAROMATI - kg,60.24,50.38,120.49,120.49,88.64,52.53,12.30,64.02,31.52,110.03,79.67,64.49
MP800265 - PASTA DE AJO -  -  - . - kg,2.50,3.93,5.36,5.36,5.32,0.00,97.52,69.66,69.66,69.66,63.56,63.56
MP800264 - ZANAHORIA -  -  - . - kg,0.00,0.00,0.00,0.00,0.00,12.26,30.21,30.21,59.66,59.32,63.08,61.91
MP062068 - CONDIMENTO BRATWURST -  - 3MF22520 - - kg,82.50,27.72,137.17,94.83,39.63,162.66,121.25,84.43,43.03,1.60,115.42,60.26
MP060110 - SABOR A CAMARON -  -  - MP060110 - kg,41.61,36.76,28.68,18.98,13.81,39.80,23.64,23.88,72.77,65.30,54.56,46.90
MP800040 - NUEZ MOSCADA -  -  - - kg,0.00,0.00,"1,125.00","1,125.00","1,125.00","1,125.00","1,125.00","1,125.00",18.00,0.00,45.00,45.00
MP062097 - SABOR A COLA CRAMER 2C1299-00 -  -  - - kg,116.76,75.16,211.50,183.83,153.55,103.72,244.66,214.35,141.75,118.67,67.90,41.95
MP800071 - CEBOLLA PERLA -  -  - - kg,0.00,141.87,0.00,0.00,0.00,75.71,0.00,2.44,0.00,0.00,0.00,40.18
MP800279 - QUINUA -  -  - - kg,8.15,64.25,159.77,159.77,107.04,57.66,123.66,80.69,146.69,70.94,39.84,35.90
MP062061 - SABOR CARNICO -  -  - 3MF21159 - kg,158.96,121.59,179.58,134.33,84.02,49.48,195.14,157.11,120.41,92.74,54.21,31.31
MP050008 - LACTOSA -  -  - FT-A30 - kg,14.60,11.16,11.16,11.16,8.82,6.56,48.37,36.03,13.58,57.97,45.35,28.68
MP060103 - JENGIBRE -  -  - MP060103 - kg,10.25,29.39,22.34,30.25,24.04,20.17,32.87,29.81,18.82,12.88,32.61,28.62
MP800308 - VAINITA -  -  - MP800308 - kg,,,,,,0.00,27.37,27.37,27.37,27.37,27.37,27.37
MP062312 - ARROZ PARBOLIZADO -  -  - - kg,9.06,3.66,35.17,35.17,62.19,29.86,29.86,11.90,61.76,60.06,43.10,26.93
MP062231 - OLEORRESINA CAPSICUM 1.0 MILL -  -  - . - kg,49.39,45.63,32.65,26.99,19.92,11.43,55.99,50.80,42.78,36.66,32.89,25.47
