Item,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
MP060144 - PROTEINA WILCON T201 TEXT. SOY -  - T - - kg,"7,530.70","3,823.47","67,199.61","60,124.95","56,154.52","20,041.21","2,772.16",920.40,"33,823.21","28,622.19","22,720.93","17,994.00"
MP062146 - PASTA PARA LASAGNA -  - 120x80 - MP062146 - kg,"10,974.08","8,692.37","7,252.68","6,123.83","4,309.57","3,290.17","27,532.41","25,782.57","23,281.05","21,729.20","19,569.26","17,972.59"
MP062286 - CARRAGENINA MCH 5400 -  -  - . - kg,"20,428.36","19,020.13","20,661.20","24,757.30","28,495.61","18,698.17","25,614.34","15,401.86","20,762.18","27,991.39","17,353.26","17,641.60"
MP060034 - PROTEINA HIDROLIZADA -  -  - FT-A50 - kg,"4,063.49","2,837.91","3,207.96","1,879.64","4,262.25","2,279.96","2,482.27","3,154.56","3,238.36","4,156.28","13,120.45","17,531.05"
MD020001 - ACIDO ACETICO COMERCIAL -  -  - - kg,"11,540.71","12,064.34","22,613.25","22,930.57","22,729.04","24,543.26","20,380.59","5,474.49","14,976.22","6,381.99","12,863.86","17,499.73"
QU030007 - HARINA DE MOSTAZA - IMPORT. -  - - kg,"16,983.67","25,168.86","22,968.91","16,768.61","4,899.26","12,529.61","9,604.22","3,697.95","13,663.15","19,513.60","39,708.84","17,454.72"
TR020016 - PASTA DE TILAPIA -  -  - TR020016 - kg,"7,760.00",0.00,698.40,"1,940.00","8,924.00","12,338.40","11,640.00","11,969.80","9,156.80","7,216.80","9,312.00","17,227.20"
MP060005 - APANADO PLANO 641038 -  - 16/07/2015 - FT-A15 - kg,"33,542.22","43,585.43","19,318.24","21,774.38","23,051.06",230.21,"11,912.33","30,602.65","30,599.47","34,641.96","14,226.68","15,521.20"
MP050020 - CONSERVANTE LIQUIDO P/EMBUTIDO -  -  - - kg,"25,549.40","24,284.11","22,605.09","21,374.10","48,878.44","44,145.64","38,123.49","33,341.93","27,765.25","23,004.12","18,970.97","15,244.23"
MP062096 - GELMAXI -  - B1479 - - kg,"102,038.51","91,973.95","70,069.70","45,348.56","29,409.47","106,189.81","81,719.59","59,366.98","42,215.35","34,974.02","26,204.38","14,837.36"
MP062067 - UP SALCHICHA LINEA DIARIA -  -  - - kg,"7,211.54","7,355.53","6,245.50","7,779.52","8,696.20","8,855.03","7,948.05","9,560.38","10,880.97","11,285.12","12,496.82","14,349.75"
MP062319 - MEZCLA EN POLVO P/HAMBURGUESA - NG16170 -  - - kg,,0.00,0.00,"2,995.20","2,995.20",332.71,"1,119.46","11,601.48","9,416.91","9,388.00","12,529.58","13,972.73"
MP062321 - MEZCLA SABORIZAR CARNE MOLIDA - NG16269 -  - - kg,,0.00,0.00,"2,672.40",157.12,157.12,"2,645.52","11,062.17","8,949.05","9,828.27","11,000.67","13,943.99"
MP062204 - CONSERVANTE EN POLVO GALIMAX -  -  - GALIMAX ACE N-50 - kg,"7,332.78","5,767.86","5,636.91","8,101.00","8,246.53","7,739.95","7,122.02","4,798.98","3,513.88","9,275.60","11,637.30","12,094.64"
MP800300 - CEBOLLA EN POLVO OEPI2527 -  -  - - kg,"9,137.68","45,742.89","45,289.99","39,704.18","37,474.35","34,258.80","30,567.63","26,604.73","23,396.66","19,404.33","15,551.59","11,949.89"
MP800301 - MOSTAZA EN POLVO 44-M -  -  - - kg,"1,008.86",683.94,"7,086.44","7,902.21","7,447.85","6,791.92","6,038.93","5,230.51","4,576.07","3,727.91","2,942.58","11,871.65"
MP060099 - VITACEL -  -  - - kg,"20,437.98","17,223.98","16,640.01","15,222.18","10,262.74","20,207.61","16,519.44","17,371.60","8,000.11","21,467.57","13,931.51","11,229.78"
MP800306 - VINAGRE NATURAL DESTILADO 12% -  -  - - kg,"11,995.30","9,962.00","9,199.51","7,674.53","20,783.24","19,120.65","16,049.64","13,832.87","12,170.28","11,152.70","11,152.70","11,152.70"
MP060130 - PINIA EN LATA -  -  - - kg,"9,795.92","9,795.92","9,795.92","9,795.92","9,795.92","9,795.92","9,795.92","9,795.92",0.00,"9,795.92","9,795.92","9,795.92"
MP062297 - CONSERVANTE INBAC MDA/NA -  -  - - kg,"5,100.82","16,926.58","19,009.31","35,387.70","22,197.67","13,729.42","22,275.09","14,658.64","22,940.96","16,657.29","21,779.77","9,474.62"
MP062317 - CARREGENINA 5193 -  -  - - kg,0.00,"6,321.43","14,682.76","9,065.68","9,337.84","7,019.57","14,655.92","13,741.21","11,178.23","8,038.74","4,090.06","9,267.40"
MP062258 - CONDIMENTO MORT LD GRIFFITH -  -  - . - kg,"5,772.18","7,283.77","2,008.41","9,181.40","11,021.88","7,646.24","9,850.74","16,377.23","18,329.66","11,360.02","12,326.29","9,049.74"
MP062263 - MARINADOR P/ POLLOS TRI INY -  -  - . - kg,"15,958.71","25,688.79","16,445.50","14,148.09","17,236.92","24,706.96","12,959.15","25,267.65","14,199.44","26,032.98","15,694.56","9,046.34"
MP800130 - ALMIDON DE MAIZ -  -  - - kg,"5,544.15","1,466.33","5,766.89",976.48,"1,710.03","4,062.53","7,580.64","7,061.45","9,278.31","5,737.91","6,751.30","8,840.91"
MP060142 - PREP SABOR POLLO LIQUIDO 119 -  -  - - kg,"15,064.31","4,910.52","8,056.41","13,050.81","16,789.67","5,355.57","8,903.32","14,870.63","14,436.72","18,639.21","19,428.50","8,785.26"
MP060066 - ALMIDON DE YUCA -  -  - FT-A92 - kg,"9,248.18","15,333.35","10,567.43","9,582.78","13,383.84","8,796.93","8,386.16","9,576.09","8,442.00","6,187.54","1,500.85","8,692.97"
MP800199 - PANELA EN POLVO -  -  - - kg,"9,616.51","5,683.60","9,970.39","5,992.63","4,550.52","7,831.62","7,651.34","7,795.70","9,131.56","5,696.19","7,088.41","8,587.01"
MP800200 - ALMIDON KOL GUARD 7467 (LP UP) -  -  - MP800200 - kg,"8,021.55","5,966.23","7,158.99","6,755.67","7,271.34","4,404.48","6,117.79","3,890.68","4,228.82","4,150.61","3,659.69","8,453.74"
MP800259 - QUESO HOLANDES 8 REBANADAS 160 -  -  - . - uni,"15,348.96","3,816.12","9,211.73","8,825.54","4,136.03","9,877.52","10,553.88","2,849.00","13,028.44","2,150.44","17,150.24","8,219.92"
MP050005 - DEXTROSA -  -  - FT-A20 - kg,"2,251.85","1,315.71","5,075.15","3,545.43","4,513.35","1,948.82","2,634.74","3,747.32","1,282.71","2,499.69","2,366.70","8,142.65"
MP060002 - ACEITE/DANOLIN FRI-3317 -  -  - FT-A38 - kg,"28,312.96","21,702.68","7,699.99","11,691.56","29,503.23","33,280.11","26,156.03","35,705.38","10,548.29","6,562.75","2,035.05","8,101.05"
MP060012 - CARMIN DE COCHINILA -  -  - MP060012 - kg,"5,725.80","5,404.73","11,242.08","13,769.46","9,539.42","13,482.07","15,151.68","9,270.09","13,831.99","13,075.24","8,536.11","8,100.22"
TR030003 - GALIMAX ACE-N7 -  - 30kg - - kg,"6,201.39","1,076.54","3,688.99","7,396.04","4,839.73","5,841.74","7,284.81","4,111.03","8,268.64","7,355.03","7,977.48","7,862.72"
MP062034 - PROTEINA 500 E -  -  - - kg,"10,337.62","13,494.82","12,675.33","10,551.59","12,842.41","12,170.93","8,079.76","10,724.16","9,533.12","6,115.58","11,860.83","7,791.16"
MP060031 - CONDIMENTO SALCHICHA COUNTRY -  -  - FT-A49 - kg,863.06,641.56,721.86,625.50,"1,440.22",689.10,"2,089.86","1,419.22",571.68,"1,386.10","8,341.13","7,714.55"
MP062225 - PREMEZCLA HAMBURGUESA ASADA -  -  - . - kg,"5,403.17","1,567.80","1,383.52","1,713.19","4,080.67","1,853.69","2,796.78","3,771.91","1,434.50","2,403.20","7,838.39","7,646.93"
MP060067 - CARRAGENINA MCH 5308 P/INYECCI -  -  - FT-A24 - kg,"5,416.63","4,486.74","4,279.32","5,980.44","7,014.55","5,446.12","3,580.05","1,576.59","2,102.77","2,790.77","3,051.82","7,600.10"
MP050006 - ERITORBATO DE SODIO -  -  - FT-A25 - kg,"5,337.21","7,254.95","8,722.66","4,867.91","7,455.25","11,178.61","4,493.57","14,120.71","7,184.65","8,364.73","6,140.10","7,499.71"
MP050046 - HUMO LIQUIDO 48P -  -  - MP050046 - kg,,,"4,007.81","6,573.70","6,423.62","5,912.71","6,679.68","6,679.68","6,679.68","6,679.68","6,679.68","6,679.68"
MP800010 - C.M.C. FGHH -  -  - GELYCEL F1 4000 - kg,"9,069.79","5,406.24","7,928.59","5,555.73","5,025.93","9,046.36","3,133.29","9,353.58","4,259.65","12,107.33","12,104.32","6,579.54"
MP060062 - CONDIMENTO UP MR.POLLO ECONOM -  -  - FT-A88 - kg,"2,710.67","3,250.80","2,124.21","3,882.31","9,436.46","4,107.53","3,059.81",127.70,52.36,311.55,"4,847.85","6,550.08"
MP060017 - COMINO MOLIDO -  -  - FT-A28 - kg,"1,604.98","1,443.03","2,806.07","2,671.57","2,056.63","1,370.64","1,564.04",956.97,"1,918.41","7,889.10","7,120.91","6,546.14"
MP062028 - PROT.TEXTURIZADA COLOR CARAMEL -  -  - - kg,"12,220.53","5,699.33","11,426.11","15,023.10","13,686.67","14,414.50","6,650.17","5,720.65","4,715.01","15,131.78","7,389.61","6,518.17"
MP800047 - PECTINA RAPID SET -  -  - - kg,"8,984.18","15,038.33","10,976.48","6,499.26","2,536.80","2,310.60","2,296.82","10,022.16","6,167.57","9,057.76","8,293.80","6,487.38"
MP800143 - ALMIDON MODIFICADO COLFLO 67 -  - kg - - kg,"3,160.55","7,998.87","7,143.86","5,850.96","4,411.36","3,595.10","2,528.70","13,724.55","11,775.05","9,768.54","8,203.42","6,363.40"
